Year,Month,Activity,Effort (Angler trips),RSE
2014,1,Charter Boat,"2,609",53
2014,2,Charter Boat,"2,555",28
2014,3,Charter Boat,"5,247",19
2014,4,Charter Boat,"6,440",27
2014,5,Charter Boat,"14,254",15
2014,6,Charter Boat,"14,290",13
2014,7,Charter Boat,"18,793",9
2014,8,Charter Boat,"12,602",35
2014,9,Charter Boat,"15,381",30
2014,10,Charter Boat,"22,851",15
2014,11,Charter Boat,"11,578",17
2014,12,Charter Boat,"4,014",24
2015,1,Charter Boat,"1,151",30
2015,2,Charter Boat,"4,343",33
2015,3,Charter Boat,"8,454",19
2015,4,Charter Boat,"11,748",16
2015,5,Charter Boat,"19,583",15
2015,6,Charter Boat,"22,616",13
2015,7,Charter Boat,"21,702",14
2015,8,Charter Boat,"15,182",15
2015,9,Charter Boat,"12,505",15
2015,10,Charter Boat,"22,424",14
2015,11,Charter Boat,"15,058",16
2015,12,Charter Boat,"5,023",26
2016,1,Charter Boat,"1,465",25
2016,2,Charter Boat,"4,885",18
2016,3,Charter Boat,"9,048",14
2016,4,Charter Boat,"13,233",13
2016,5,Charter Boat,"22,964",11
2016,6,Charter Boat,"28,602",10
2016,7,Charter Boat,"21,467",13
2016,8,Charter Boat,"13,051",12
2016,9,Charter Boat,"17,954",12
2016,10,Charter Boat,"23,814",15
2016,11,Charter Boat,"15,103",14
2016,12,Charter Boat,"7,648",14
2017,1,Charter Boat,"1,518",26
2017,2,Charter Boat,"4,757",21
2017,3,Charter Boat,"12,184",14
2017,4,Charter Boat,"12,785",15
2017,5,Charter Boat,"23,164",17
2017,6,Charter Boat,"28,235",9
2017,7,Charter Boat,"20,274",11
2017,8,Charter Boat,"15,657",11
2017,9,Charter Boat,"14,036",13
2017,10,Charter Boat,"20,508",11
2017,11,Charter Boat,"21,159",12
2017,12,Charter Boat,"4,440",22
2018,1,Charter Boat,"2,616",20
2018,2,Charter Boat,"7,091",18
2018,3,Charter Boat,"11,808",14
2018,4,Charter Boat,"15,105",14
2018,5,Charter Boat,"30,190",11
2018,6,Charter Boat,"26,136",11
2018,7,Charter Boat,"16,684",11
2018,8,Charter Boat,"20,096",11
2018,9,Charter Boat,"15,248",14
2018,10,Charter Boat,"18,913",11
2018,11,Charter Boat,"15,133",10
2018,12,Charter Boat,"4,290",16
2019,1,Charter Boat,"3,328",23
2019,2,Charter Boat,"4,833",20
2019,3,Charter Boat,"9,322",14
2019,4,Charter Boat,"13,897",12
2019,5,Charter Boat,"28,076",12
2019,6,Charter Boat,"22,021",11
2019,7,Charter Boat,"16,285",18
2019,8,Charter Boat,"17,809",11
2019,9,Charter Boat,"13,026",13
2019,10,Charter Boat,"24,685",10
2019,11,Charter Boat,"10,623",14
2019,12,Charter Boat,"4,666",18
2020,1,Charter Boat,"4,844",25
2020,2,Charter Boat,"5,110",19
2020,3,Charter Boat,"8,426",18
2020,4,Charter Boat,"4,552",24
2020,5,Charter Boat,"8,670",16
2020,6,Charter Boat,"18,297",15
2020,7,Charter Boat,"15,488",11
2020,8,Charter Boat,"10,506",14
2020,9,Charter Boat,"9,363",16
2020,10,Charter Boat,"13,283",14
2020,11,Charter Boat,"10,300",14
2020,12,Charter Boat,"6,585",19
2021,1,Charter Boat,"2,613",27
2021,2,Charter Boat,"3,068",22
2021,3,Charter Boat,"10,245",15
2021,4,Charter Boat,"21,203",19
2021,5,Charter Boat,"19,576",13
2021,6,Charter Boat,"20,176",12
2021,7,Charter Boat,"26,955",11
2021,8,Charter Boat,"12,374",13
2021,9,Charter Boat,"6,010",16
2021,10,Charter Boat,"17,467",14
2021,11,Charter Boat,"14,206",15
2021,12,Charter Boat,"9,340",15
2022,1,Charter Boat,"3,090",27
2022,2,Charter Boat,"4,317",20
2022,3,Charter Boat,"9,000",15
2022,4,Charter Boat,"13,476",18
2022,5,Charter Boat,"21,579",18
2022,6,Charter Boat,"26,247",12
2022,7,Charter Boat,"14,164",12
2022,8,Charter Boat,"12,872",13
2022,9,Charter Boat,"20,375",13
2022,10,Charter Boat,"17,287",14
2022,11,Charter Boat,"13,271",14
2022,12,Charter Boat,"6,942",17
2023,1,Charter Boat,"2,826",25
2023,2,Charter Boat,"6,634",19
2023,3,Charter Boat,"12,122",15
2023,4,Charter Boat,"12,734",14
2023,5,Charter Boat,"22,501",12
2023,6,Charter Boat,"28,541",39
